seed,case_id,scenario,scenario_code,method,method_code,true_candidate_id,predicted_candidate_id,true_score,top_score,true_rank,reciprocal_rank,unique_top1,top_tie_count,compared_field_count,true_field_scores,true_excluded_fields
42,case_67440597851cf9d068aa,natural_variation,P0,normalized_exact,M0,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.400000000000,0.400000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 0.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_67440597851cf9d068aa,natural_variation,P0,tolerant_deterministic,M1,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.600000000000,0.600000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_67440597851cf9d068aa,natural_variation,P0,jaro_winkler_text,M2,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.916402737048,0.916402737048,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 0.9666666666666667, ""description"": 0.6709025741283806, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_67440597851cf9d068aa,natural_variation,P0,character_trigram_text,M3,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.760382975766,0.760382975766,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 0.9666666666666667, ""description"": 0.05078367161190256, ""entity"": 0.7844645405527363, ""reference"": 1.0}",[]
42,case_67440597851cf9d068aa,natural_variation,P0,field_aware,M4,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.792378956545,0.792378956545,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 0.9666666666666667, ""description"": 0.05078367161190256, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_67440597851cf9d068aa,natural_variation,P0,field_aware_without_description,M4-D,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.977777777778,0.977777777778,1.000000,1.000000000000,1,1,4,"{""amount"": 1.0, ""date"": 0.9666666666666667, ""entity"": 0.9444444444444444, ""reference"": 1.0}","[""description""]"
42,case_c3cc276b193f8745f2a4,amount_variation,P1,normalized_exact,M0,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.200000000000,0.200000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 0.0, ""date"": 0.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_c3cc276b193f8745f2a4,amount_variation,P1,tolerant_deterministic,M1,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.400000000000,0.400000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 0.0, ""date"": 1.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_c3cc276b193f8745f2a4,amount_variation,P1,jaro_winkler_text,M2,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.816906676821,0.816906676821,1.000000,1.000000000000,1,1,5,"{""amount"": 0.5025196988674728, ""date"": 0.9666666666666667, ""description"": 0.6709025741283806, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_c3cc276b193f8745f2a4,amount_variation,P1,character_trigram_text,M3,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.660886915540,0.660886915540,1.000000,1.000000000000,1,1,5,"{""amount"": 0.5025196988674728, ""date"": 0.9666666666666667, ""description"": 0.05078367161190256, ""entity"": 0.7844645405527363, ""reference"": 1.0}",[]
42,case_c3cc276b193f8745f2a4,amount_variation,P1,field_aware,M4,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.692882896318,0.692882896318,1.000000,1.000000000000,1,1,5,"{""amount"": 0.5025196988674728, ""date"": 0.9666666666666667, ""description"": 0.05078367161190256, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_c3cc276b193f8745f2a4,amount_variation,P1,field_aware_without_description,M4-D,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.853407702495,0.853407702495,1.000000,1.000000000000,1,1,4,"{""amount"": 0.5025196988674728, ""date"": 0.9666666666666667, ""entity"": 0.9444444444444444, ""reference"": 1.0}","[""description""]"
42,case_641f8ebf151f93fd1913,date_variation,P2,normalized_exact,M0,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.600000000000,0.600000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_641f8ebf151f93fd1913,date_variation,P2,tolerant_deterministic,M1,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.600000000000,0.600000000000,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.0, ""entity"": 0.0, ""reference"": 1.0}",[]
42,case_641f8ebf151f93fd1913,date_variation,P2,jaro_winkler_text,M2,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.923069403715,0.923069403715,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.6709025741283806, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_641f8ebf151f93fd1913,date_variation,P2,character_trigram_text,M3,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.767049642433,0.767049642433,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.05078367161190256, ""entity"": 0.7844645405527363, ""reference"": 1.0}",[]
42,case_641f8ebf151f93fd1913,date_variation,P2,field_aware,M4,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.799045623211,0.799045623211,1.000000,1.000000000000,1,1,5,"{""amount"": 1.0, ""date"": 1.0, ""description"": 0.05078367161190256, ""entity"": 0.9444444444444444, ""reference"": 1.0}",[]
42,case_641f8ebf151f93fd1913,date_variation,P2,field_aware_without_description,M4-D,cand_6169af8815cf1f29e200,cand_6169af8815cf1f29e200,0.986111111111,0.986111111111,1.000000,1.000000000000,1,1,4,"{""amount"": 1.0, ""date"": 1.0, ""entity"": 0.9444444444444444, ""reference"": 1.0}","[""description""]"
